age,sex,province,health,n
28,Male,BC,Excellent,6
28,Male,BC,Fair,2
28,Male,BC,Very good,3
28,Male,MB,Excellent,2
28,Male,MB,Fair,1
28,Male,NB,Excellent,3
28,Male,NB,Fair,4
28,Male,NB,Very good,1
28,Male,NL,Excellent,2
28,Male,NL,Fair,2
28,Male,NL,Very good,2
28,Male,NS,Excellent,2
28,Male,NS,Very good,4
28,Male,ON,Excellent,13
28,Male,ON,Fair,8
28,Male,ON,Very good,16
28,Male,PE,Excellent,2
28,Male,QC,Excellent,7
28,Male,QC,Fair,11
28,Male,QC,Very good,5
28,Male,SK,Excellent,2
28,Male,SK,Fair,4
28,Male,SK,Very good,3
29,Female,AB,Excellent,4
29,Female,AB,Fair,2
29,Female,AB,Very good,11
29,Female,BC,Excellent,5
29,Female,BC,Fair,6
29,Female,BC,Very good,3
29,Female,MB,Excellent,6
29,Female,MB,Fair,2
29,Female,MB,Very good,6
29,Female,NB,Excellent,2
29,Female,NB,Fair,5
29,Female,NB,Very good,6
29,Female,NL,Excellent,4
29,Female,NL,Fair,2
29,Female,NL,Poor,1
29,Female,NL,Very good,4
29,Female,NS,Excellent,2
29,Female,NS,Very good,2
29,Female,ON,Excellent,16
29,Female,ON,Fair,14
29,Female,ON,Poor,1
29,Female,ON,Very good,19
29,Female,ON,NA,1
29,Female,PE,Excellent,1
29,Female,PE,Very good,1
29,Female,QC,Excellent,2
29,Female,QC,Fair,7
29,Female,QC,Very good,8
29,Female,SK,Excellent,5
29,Female,SK,Fair,5
29,Female,SK,Other,1
29,Female,SK,Very good,4
29,Male,AB,Excellent,1
29,Male,AB,Fair,4
29,Male,AB,Very good,1
29,Male,BC,Excellent,2
29,Male,BC,Fair,5
29,Male,BC,Very good,7
29,Male,MB,Excellent,1
29,Male,MB,Fair,2
29,Male,MB,Very good,3
29,Male,NB,Excellent,1
29,Male,NB,Fair,4
29,Male,NB,Very good,3
29,Male,NL,Excellent,2
29,Male,NL,Fair,1
29,Male,NL,Very good,4
29,Male,NS,Excellent,1
29,Male,NS,Fair,5
29,Male,NS,Very good,4
29,Male,ON,Excellent,12
29,Male,ON,Fair,10
29,Male,ON,Poor,2
29,Male,ON,Very good,14
29,Male,PE,Fair,3
29,Male,PE,Very good,3
29,Male,QC,Excellent,4
29,Male,QC,Fair,3
29,Male,QC,Very good,8
29,Male,QC,NA,1
29,Male,SK,Excellent,2
29,Male,SK,Fair,5
29,Male,SK,Very good,8
30,Female,AB,Excellent,7
30,Female,AB,Fair,6
30,Female,AB,Very good,5
30,Female,BC,Excellent,5
30,Female,BC,Fair,2
30,Female,BC,Poor,1
30,Female,BC,Very good,3
30,Female,BC,NA,1
30,Female,MB,Excellent,5
30,Female,MB,Very good,3
30,Female,NB,Excellent,1
30,Female,NB,Fair,1
30,Female,NB,Very good,3
30,Female,NL,Excellent,4
30,Female,NL,Fair,4
30,Female,NL,Poor,1
30,Female,NL,Very good,6
30,Female,NS,Excellent,1
30,Female,NS,Fair,4
30,Female,NS,Other,1
30,Female,NS,Very good,5
30,Female,ON,Excellent,19
30,Female,ON,Fair,16
30,Female,ON,Poor,1
30,Female,ON,Very good,16
30,Female,ON,NA,1
30,Female,PE,Excellent,3
30,Female,PE,Fair,2
30,Female,PE,Very good,4
30,Female,QC,Excellent,8
30,Female,QC,Fair,10
